,soot yield,hrr peak,co yield,growth rate,heat of combustion,radiative fraction,risk,fed
0,0.024640000000000006,1482,0.017200000000000003,0.11440081358479957,25000.0,0.309,"{""individual"": 3.637375140688115e-13, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 8.002225309513853e-12, ""sri"": 9.202559105940931e-11}","[0.0001778791320710029, 0.00013277694638228632, 0.00016174004747772377, 0.0001385697260260036, 0.00018581836578598237, 0.0001633381817403244, 0.00016689892618426347, 0.0001590656313249177, 0.00017970457532427806, 0.00017350627833944993, 0.00018145769888809285, 0.000140350876796975, 0.0001261062953563382, 0.0001243343940396357, 0.00014484884481396444, 8.440418569626454e-05, 0.00014691520679854466, 0.0001709652344278902, 0.00018304706062180888, 0.00036384162280232106, 0.000682744575803549, 0.0011810348410249895]"
1,0.09214285714285714,1145,0.10114285714285715,0.06636087152089229,44000.0,0.296,"{""individual"": 5.471649671727637e-13, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 1.2037629277800802e-11, ""sri"": 1.384327366947092e-10}","[0.00013577039289897134, 0.00014732893806890693, 0.00012181019078953275, 0.00011172365505313447, 0.0001558512651156802, 0.00015359552813763662, 0.00017078096649394164, 0.00010390104904059298, 0.0002473327418337369, 0.00012719162598742457, 0.00027624746442915125, 0.00016140607455833228, 0.00012872911114965283, 0.00012528043042530788, 0.0001655958593779385, 0.00018018940189117546, 0.00018625479563448932, 0.00019421547217332653, 0.00013239698544108728, 0.0001917246288725023, 0.0012419230889100263, 0.0008762315849661738]"
2,0.0672,1482,0.041280000000000004,0.11581291213650688,44000.0,0.249,"{""individual"": 8.484228363402521e-15, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 1.8665302399485547e-13, ""sri"": 2.1465097759408378e-12}","[0.0002250995037228702, 0.00023344461637468455, 0.0002755901224373175, 0.00023009415845088034, 0.00018356025431298821, 0.00018819993298116545, 0.00019055542731026177, 0.00021167228611286868, 0.0002731375969169322, 0.0001930712534676428, 0.0001309462696125222, 0.00017547767114504202, 0.0002083671128665807, 0.00019517914147633504, 0.00016604539683406466, 0.00023669392026369698, 0.00023927713829545135, 0.00017312586310175938, 0.00028673775474405693, 0.0002225900754082722, 0.0006020593522268915, 0.0006630785608068272]"
3,0.02308196721311475,1145,0.012950819672131148,0.013137288883960069,25000.0,0.289,"{""individual"": 1.681871469346671e-11, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 3.700117232562676e-10, ""sri"": 4.255134817447077e-09}","[0.00020604944250720078, 0.0002619928849490042, 0.00026967516337984604, 0.0001420176071130593, 0.00020928806432056747, 0.0002303275501600114, 0.00023357817998425403, 0.0003025494545204966, 0.0002980757070854371, 0.00023955209487388566, 0.00014441883306595048, 0.0001526762181252942, 0.00033332493921716603, 0.0004520467151962146, 0.0002510465274841088, 0.0002478547351309316, 0.0003723401512481903, 0.0003049342960184381, 0.0003519248839900282, 0.0002948839049939878, 0.0017380206538451701, 0.0020102729496388715]"
4,0.06405714285714285,1482,0.03634285714285714,0.05633784771024902,43000.0,0.296,"{""individual"": 1.3123482859257025e-14, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 2.8871662290365455e-13, ""sri"": 3.3202411633920273e-12}","[0.00011443276368538677, 0.00019446918735374342, 7.40942671658277e-05, 0.00018682782410115863, 0.00019738438048770004, 0.00017606523818200078, 0.00019032829012300987, 0.00016492061608118562, 0.0001923006114182319, 0.00023942360622998638, 0.00021850264203310602, 0.00010619536052146734, 0.00014886384497671493, 0.00018416893137464268, 0.00018176779405591303, 0.00018879735257000153, 0.00017413830031543951, 0.00014203738308231155, 0.00011735174892156286, 0.00013105211740442016, 0.0006946457008976134, 0.0006529253980890331]"
5,0.022985074626865665,1482,0.012686567164179104,0.014222618435975803,25000.0,0.276,"{""individual"": 9.95689337398013e-13, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 2.1905165422756287e-11, ""sri"": 2.519094023616973e-10}","[0.0001345680918434509, 0.0001431733464858754, 0.0001625020914942798, 0.00018294138571472654, 0.0001813252970937214, 0.00011923174820679086, 0.00016472363085392002, 0.0001546512296606333, 0.00015979312544484996, 0.00013761968453271094, 0.0001789459911885213, 0.00011590746588738592, 0.0001932091063719331, 0.00026228309895844944, 0.00011779620332642438, 0.00016600040061474426, 0.00012180096281909034, 0.00013600223046016685, 0.00012897086685101003, 0.00016887496225114195, 0.0012586203227430768, 0.0012194122938262299]"
6,0.02324528301886792,1145,0.01339622641509434,0.01754483948762775,25000.0,0.256,"{""individual"": 9.91895842866165e-13, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 2.1821708543055632e-11, ""sri"": 2.509496482451398e-10}","[0.0001626812796899523, 0.00018648119009230966, 0.00013055933941695335, 0.0001596989384288389, 0.00014131719548711607, 0.00019681953274922588, 0.0002097855492229755, 0.0002825723381710782, 0.00015644788631230349, 0.00021774556890511918, 0.00014489953104971807, 0.00020758214966118334, 0.000167453206530773, 0.00014967643052411894, 0.00017972865095701085, 0.00016479988959889916, 0.0002454112308397299, 0.00017396815994659615, 0.00010944621030365594, 0.00015226646056340926, 0.00013788631564251496, 0.001372458945089298]"
7,0.14932142857142855,1145,0.07028571428571428,0.04218200435580699,28000.0,0.285,"{""individual"": 1.2459855751545645e-13, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 2.7411682653400418e-12, ""sri"": 3.152343505141048e-11}","[0.00013339574650348917, 0.00012354699999282497, 9.851607274808725e-05, 8.239076970800822e-05, 0.00023588010515305713, 0.00010931618960276132, 0.0001512146811406435, 0.00013056603028401546, 0.00011885236008730534, 0.00016622825505870623, 0.00016949294423001954, 7.097611213545925e-05, 0.00018777043393955839, 0.00011699685906890487, 9.428505860002703e-05, 0.00012216061366897947, 0.00012872971637559332, 0.00016822791828299135, 0.00011086194145714696, 0.00013650402621168188, 0.0008531073931045272, 0.0009673521515893146]"
8,0.02184782608695652,1145,0.014956521739130438,0.04670490024714308,17000.0,0.332,"{""individual"": 3.942893402189308e-14, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 8.674365484816477e-13, ""sri"": 9.97552030753895e-12}","[0.00011201387300656422, 9.26835473130832e-05, 8.799246111529136e-05, 7.196439547592676e-05, 7.901076916894393e-05, 9.40975027367269e-05, 8.596457807406756e-05, 0.0001100957071721777, 0.00012155818349958248, 0.00014563021222516436, 5.769254940703993e-05, 6.653437029313721e-05, 0.0001201242434477539, 7.81973910241201e-05, 0.00013391178813717633, 0.0001554323268340317, 0.0001054086785508163, 0.0001184092558771464, 8.116712959668799e-05, 0.0001254763223127439, 0.0007210829669032134, 0.000827004982820847]"
9,0.12359375,1482,0.037500000000000006,0.06806987217187492,28000.0,0.277,"{""individual"": 8.519982991531019e-14, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 1.8743962581368243e-12, ""sri"": 2.1555556968573478e-11}","[0.0001883369898849414, 0.00027768340204676576, 0.0002996272896654464, 0.00035413400477179974, 0.00021391221877248162, 0.0002918906944371691, 0.0001761351629253546, 0.00024071036045993536, 0.00029548333783336716, 0.00021691109460299655, 0.0001401006990145632, 0.0002332608111608351, 0.0001925584403474481, 0.00023090354740506425, 0.00023777955383865186, 0.00019667533276040172, 0.00038970812437304886, 0.0002446120619930987, 0.00044228757952231135, 0.0002478500804073857, 0.0008587375390857577, 0.0008848981410363121]"
